first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
jaylen,adams,,jaylen-adams-1,2017-18,St. Bonaventure,Atlantic 10,1996-05-04,22.130502337488107,73,180,12,12,420,8.2,18.7,0.438,4.0,10.1,0.392,4.2,8.6,0.492,9.7,11.5,0.845,7.2,7.8,1.9,0.3,5.3,4.5,30.3,118.6,102.7,22.0,0.627,0.551,0.46,0.613,219,1.9,12.7,7.3,27.5,1.9,0.6,18.1,25.6,1.4,0.6,2.0,0.188,5.6,0.2,5.9,0.358,0.408,0.05,0.182,0.36,0.0,0.46,0.492,0.581,0.613,0.845,,,,,,,,,,,,,,,,,,,,,,
rawle,alkins,,rawle-alkins-1,2017-18,Arizona,Pac-12,1997-10-29,20.64381883269335,77,220,10,9,306,8.5,17.8,0.479,5.9,10.4,0.571,2.6,7.4,0.35,7.4,9.5,0.784,8.5,5.4,2.8,1.5,4.8,4.1,27.1,117.7,101.3,21.9,0.607,0.552,0.417,0.531,149,8.2,9.8,9.1,16.7,2.8,2.8,17.8,23.9,0.9,0.5,1.4,0.18,6.0,3.2,9.3,0.302,0.759,0.273,0.281,0.37,0.1,0.417,0.35,1.0,0.531,0.784,,,,,,,,,,,,,,,,,,,,,,
grayson,allen,,grayson-allen-1,2017-18,Duke,ACC,1995-08-10,22.864261415361028,76,195,19,19,613,8.4,19.2,0.44,4.1,8.0,0.511,4.4,11.2,0.389,4.2,5.1,0.825,6.1,7.3,2.5,0.1,2.8,3.5,25.4,129.9,103.0,20.2,0.588,0.553,0.583,0.264,283,2.2,9.3,6.0,19.6,2.5,0.2,11.3,20.2,2.2,0.9,3.0,0.198,7.6,1.3,8.8,0.181,0.667,0.462,0.236,0.392,0.35,0.583,0.389,0.857,0.264,0.825,,,,,,,,,,,,,,,,,,,,,,
deandre,ayton,,deandre-ayton-1,2017-18,Arizona,Pac-12,1998-07-23,19.912797661827415,85,250,20,20,636,13.9,22.1,0.629,13.2,19.9,0.664,0.7,2.2,0.32,6.5,9.1,0.716,19.8,2.8,0.9,3.1,3.4,4.5,35.1,130.2,96.5,31.8,0.663,0.645,0.101,0.411,359,11.7,29.0,21.1,10.3,0.9,5.8,11.4,26.3,2.9,1.3,4.2,0.263,6.6,4.1,10.6,0.464,0.852,0.592,0.435,0.463,0.6,0.101,0.32,1.0,0.411,0.716,,,,,,,,,,,,,,,,,,,,,,
marvin,bagley,,marvin-bagleyiii-1,2017-18,Duke,ACC,1999-03-14,19.272127422192106,83,234,19,19,610,14.4,23.5,0.612,13.3,20.4,0.654,1.1,3.1,0.343,7.3,11.9,0.617,19.5,2.8,1.5,1.9,3.9,2.8,37.2,128.7,97.0,32.5,0.638,0.635,0.133,0.506,379,14.3,23.2,19.0,8.9,1.5,3.3,11.9,27.5,2.9,1.2,4.0,0.265,7.8,2.3,10.1,0.551,0.786,0.509,0.316,0.422,0.4,0.133,0.343,0.75,0.506,0.617,,,,,,,,,,,,,,,,,,,,,,
mohamed,bamba,,mohamed-bamba-1,2017-18,Texas,Big 12,1998-05-12,20.109926966330587,83,225,18,18,548,9.1,17.6,0.518,8.4,14.0,0.6,0.8,3.7,0.206,3.8,6.3,0.593,20.5,0.8,1.6,8.5,3.5,5.7,22.8,108.0,83.8,25.4,0.552,0.54,0.207,0.36,208,12.1,27.1,19.7,2.7,1.6,15.6,14.7,20.9,0.9,1.7,2.6,0.193,0.1,10.6,10.7,0.494,0.765,0.565,0.299,0.327,0.188,0.207,0.206,0.857,0.36,0.593,,,,,,,,,,,,,,,,,,,,,,
keita,bates-diop,,keita-bates-diop-1,2017-18,Ohio State,Big Ten,1996-01-23,22.409768852200937,79,190,21,21,663,13.4,26.6,0.505,9.9,17.2,0.576,3.6,9.5,0.376,5.4,6.7,0.805,16.2,2.3,2.1,3.1,3.0,3.3,35.8,119.4,88.8,29.3,0.601,0.572,0.355,0.251,361,5.8,25.6,16.3,8.5,2.1,6.4,9.2,28.8,2.3,1.8,4.1,0.249,5.4,5.2,10.6,0.238,0.699,0.333,0.407,0.504,0.302,0.355,0.376,0.951,0.251,0.805,,,,,,,,,,,,,,,,,,,,,,
tyus,battle,,tyus-battle-1,2017-18,Syracuse,ACC,1997-09-23,20.742383484944934,78,205,19,19,726,11.0,26.0,0.422,7.3,14.8,0.494,3.6,11.1,0.326,6.2,7.5,0.82,4.4,2.4,2.9,0.4,3.7,3.7,31.7,110.7,100.2,18.5,0.537,0.492,0.429,0.289,326,1.3,6.8,4.0,9.5,2.9,0.9,11.2,27.7,1.7,1.2,2.9,0.158,3.3,0.5,3.8,0.162,0.6,0.267,0.409,0.452,0.123,0.429,0.326,0.767,0.289,0.82,,,,,,,,,,,,,,,,,,,,,,
miles,bridges,,miles-bridges-1,2017-18,Michigan State,Big,1998-03-21,20.25229813069399,79,230,19,18,567,12.0,25.6,0.471,8.1,14.6,0.559,3.9,11.0,0.355,4.3,4.9,0.878,13.7,5.7,1.0,2.1,3.9,3.0,32.3,119.9,90.5,23.9,0.579,0.547,0.431,0.192,299,7.0,17.7,13.2,18.6,1.0,3.8,12.3,27.2,1.9,1.5,3.4,0.239,6.1,4.4,10.5,0.322,0.659,0.574,0.247,0.429,0.63,0.431,0.355,0.949,0.192,0.878,,,,,,,,,,,,,,,,,,,,,,
mikal,bridges,,mikal-bridges-1,2017-18,Providence,Big East,1996-08-30,21.807429310663466,79,191,19,19,589,10.7,21.2,0.505,6.1,10.8,0.566,4.6,10.4,0.44,4.9,5.9,0.823,10.8,3.6,3.2,2.3,2.8,3.6,30.9,128.7,93.4,27.0,0.642,0.613,0.491,0.279,297,5.7,16.2,11.2,11.0,3.2,4.1,10.3,23.7,2.3,1.4,3.7,0.249,7.4,5.1,12.5,0.378,0.631,0.509,0.131,0.379,0.273,0.491,0.44,0.958,0.279,0.823,,,,,,,,,,,,,,,,,,,,,,
bruce,brown,,bruce-brown-2,2017-18,Miami,ACC,1996-08-15,21.84849791576829,77,190,17,17,570,7.2,16.6,0.433,5.7,11.4,0.496,1.5,5.2,0.294,3.8,6.1,0.633,11.8,7.0,2.2,1.1,3.8,3.8,19.7,105.2,90.2,17.0,0.506,0.479,0.311,0.366,218,4.4,18.1,11.6,20.8,2.2,2.0,16.5,20.5,0.8,1.5,2.3,0.159,1.4,5.5,6.9,0.421,0.623,0.442,0.268,0.295,0.0,0.311,0.294,0.667,0.366,0.633,,,,,,,,,,,,,,,,,,,,,,
