first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
markelle,fultz,25,25,892,12.9,27.1,0.47600000000000003,9.7,19.3,0.502,3.2,7.8,0.413,6.7,10.4,0.649,8.8,9.1,2.5,1.8,4.9,3.9,35.7,116.3,110.8
lonzo,ball,36,36,1263,8.1,14.6,0.551,4.7,6.4,0.732,3.4,8.3,0.41200000000000003,2.8,4.2,0.6729999999999979,9.2,11.7,2.8,1.2,3.8,2.8,22.4,131.3,100.7
jayson,tatum,29,27,966,9.8,21.6,0.452,7.4,14.7,0.504,2.4,6.9,0.342,7.0,8.2,0.8490000000000001,12.6,3.7,2.3,2.0,4.5,5.1,28.9,111.3,97.8
josh,jackson,35,35,1077,11.4,22.3,0.513,9.7,17.6,0.5489999999999979,1.8,4.7,0.377999999999998,5.1,9.0,0.5660000000000001,13.4,5.4,3.1,1.9,5.0,5.4,29.7,110.7,96.0
deaaron,fox,36,34,1064,10.8,22.6,0.479,9.9,19.1,0.521,0.9,3.5,0.24600000000000002,7.9,10.7,0.736,7.2,8.3,2.7,0.4,4.4,4.5,30.4,113.4,96.8
jonathan,isaac,32,32,839,8.5,16.8,0.508,6.5,11.0,0.593,2.0,5.8,0.348,6.0,7.7,0.78,16.5,2.4,2.4,3.2,3.2,4.6,25.1,122.2,93.6
lauri,markkanen,37,37,1140,9.6,19.6,0.49200000000000005,6.0,11.1,0.545,3.6,8.5,0.423,7.1,8.6,0.835,13.9,1.7,0.8,1.0,2.1,3.8,30.0,134.1,100.4
dennis,smithjr,32,32,1114,9.5,21.0,0.455,6.8,13.3,0.509,2.7,7.6,0.359,7.1,10.0,0.715,7.3,9.8,3.1,0.7,5.4,3.3,29.0,112.2,109.1
zach,collins,39,0,673,11.3,17.3,0.652,10.5,15.6,0.672,0.8,1.8,0.47600000000000003,9.2,12.4,0.743,19.2,1.3,1.5,5.8,5.0,8.8,32.6,125.1,79.4
malik,monk,38,37,1218,11.1,24.6,0.45,6.5,13.1,0.49700000000000005,4.6,11.6,0.397,6.5,7.9,0.8220000000000001,4.2,3.8,1.6,0.8,3.3,3.2,33.3,118.0,100.7
luke,kennard,37,36,1314,10.3,21.1,0.489,6.5,12.4,0.525,3.8,8.8,0.437999999999998,7.0,8.1,0.856,8.2,4.0,1.3,0.6,2.6,3.6,31.4,130.6,104.4
donovan,mitchell,34,33,1098,9.6,23.6,0.408,5.4,11.6,0.46299999999999897,4.2,12.0,0.354,4.6,5.7,0.8059999999999979,8.8,4.9,3.7,0.9,3.0,4.7,28.1,116.1,94.0
edrice,adebayo,38,38,1145,8.0,13.3,0.599,8.0,13.3,0.599,0.0,0.0,,7.2,11.1,0.653,14.3,1.5,1.2,2.7,3.0,4.6,23.2,123.6,95.7
justin,jackson,40,39,1281,11.3,25.6,0.442999999999998,6.8,13.4,0.51,4.5,12.2,0.37,4.2,5.6,0.748,8.0,4.9,1.3,0.4,3.0,2.4,31.4,121.0,102.2
justin,patton,35,34,885,12.4,18.4,0.6759999999999979,11.9,17.4,0.6829999999999979,0.5,0.9,0.532999999999998,2.8,5.4,0.517,13.5,2.5,1.9,3.1,3.7,6.0,28.1,119.8,96.0
dj,wilson,38,36,1155,8.9,16.5,0.537999999999998,6.7,10.6,0.631,2.2,6.0,0.373,2.7,3.3,0.833,11.0,2.7,1.1,3.1,2.3,3.9,22.7,123.9,102.9
tj,leaf,35,35,1048,12.1,19.6,0.617,10.7,16.6,0.644,1.4,3.0,0.466,3.7,5.5,0.679,14.8,4.4,1.1,2.0,2.7,4.6,29.3,130.6,101.2
john,collins,33,33,878,14.9,23.9,0.622,14.9,23.8,0.624,0.0,0.1,0.0,10.4,14.0,0.745,20.6,1.1,1.3,3.3,3.8,6.2,40.1,129.9,105.0
harry,giles,26,6,300,8.6,14.9,0.5770000000000001,8.6,14.9,0.5770000000000001,0.0,0.0,,2.3,4.6,0.5,19.1,1.7,1.7,3.2,3.4,11.1,19.5,115.1,96.6
jarrett,allen,33,33,1061,9.8,17.4,0.5660000000000001,9.8,17.0,0.579,0.0,0.4,0.0,4.6,8.2,0.564,15.3,1.5,1.0,2.8,4.6,3.7,24.3,104.8,99.9
og,anunoby,16,10,402,9.7,17.5,0.557,7.7,11.0,0.701,2.0,6.4,0.311,3.9,6.9,0.563,12.5,3.3,3.0,3.0,3.7,4.7,25.3,118.5,99.4
tyler,lydon,34,34,1227,7.3,15.3,0.473,4.9,9.4,0.523,2.4,6.0,0.395,4.7,5.6,0.836,14.1,3.4,1.7,2.4,2.8,4.0,21.5,121.3,102.7
caleb,swanigan,35,35,1139,11.1,21.1,0.527,9.2,16.8,0.5479999999999979,1.9,4.3,0.447,8.2,10.5,0.7809999999999979,21.9,5.4,0.8,1.4,5.9,4.9,32.4,116.0,92.7
kyle,kuzma,29,29,894,11.6,23.0,0.504,9.9,17.7,0.56,1.7,5.4,0.321,5.4,8.1,0.669,17.3,4.5,1.1,0.9,4.0,2.9,30.4,115.8,96.3
tony,bradley,38,0,553,10.1,17.7,0.573,10.1,17.7,0.573,0.0,0.0,,6.5,10.4,0.619,19.4,2.3,1.0,2.2,2.5,6.9,26.8,129.1,97.6
derrick,white,34,32,1116,10.7,21.0,0.507,7.7,13.5,0.569,3.0,7.5,0.396,7.7,9.5,0.813,7.2,7.7,2.2,2.5,4.2,3.7,32.0,124.9,104.0
josh,hart,36,35,1193,12.0,23.6,0.51,8.3,14.3,0.579,3.8,9.3,0.40399999999999797,6.5,8.7,0.747,11.7,5.4,2.9,0.5,3.6,4.1,34.3,125.0,94.6
frank,jackson,36,16,895,8.5,18.0,0.473,5.2,9.7,0.539,3.3,8.2,0.395,4.9,6.5,0.755,5.8,3.9,1.3,0.1,3.1,5.4,25.2,119.0,106.2
davon,reed,33,33,1165,8.5,19.7,0.433,4.3,9.2,0.474,4.2,10.6,0.397,4.8,5.7,0.833,8.4,4.2,2.3,0.8,3.6,2.8,26.0,115.9,100.2
wesley,iwundu,35,35,1098,8.1,16.9,0.48100000000000004,6.4,12.3,0.52,1.7,4.6,0.376,6.6,8.6,0.767,11.9,6.5,1.9,0.6,4.4,3.4,24.6,113.5,99.9
frank,mason,36,36,1301,10.4,21.2,0.49,6.8,13.7,0.5,3.5,7.5,0.47100000000000003,8.1,10.2,0.794,6.5,8.0,2.0,0.1,3.7,3.1,32.4,128.4,103.4
ivan,rabb,31,30,1012,9.0,18.6,0.484,8.5,17.4,0.49,0.5,1.2,0.4,7.4,11.1,0.662999999999999,19.3,2.9,1.3,1.8,4.0,5.7,25.9,109.9,91.6
semi,ojeleye,35,35,1195,11.0,22.6,0.48700000000000004,7.2,13.6,0.529,3.8,9.0,0.424,9.0,11.5,0.785,12.6,2.8,0.8,0.7,2.6,3.3,34.9,132.0,98.0
jordan,bell,39,38,1124,8.8,13.9,0.636,8.7,13.2,0.659,0.2,0.7,0.214,4.2,6.0,0.701,17.7,3.6,2.5,4.5,3.9,3.5,22.0,123.7,89.0
jawun,evans,32,32,936,12.4,28.3,0.437999999999998,10.3,22.7,0.452,2.1,5.6,0.379,9.1,11.2,0.812,6.5,12.0,3.3,0.2,5.3,4.3,36.0,118.7,108.2
dwayne,bacon,35,35,1008,12.1,26.7,0.452,9.0,17.4,0.516,3.1,9.3,0.33299999999999796,5.7,7.5,0.754,8.0,3.3,1.9,0.2,3.9,3.0,32.9,110.3,103.4
tyler,dorsey,39,39,1169,9.4,20.1,0.467,5.0,9.8,0.513,4.4,10.3,0.423,5.2,6.9,0.755,6.7,3.3,1.5,0.2,2.9,2.8,28.3,120.7,101.4
thomas,bryant,34,34,954,8.9,17.2,0.519,7.5,13.6,0.556,1.4,3.6,0.382999999999998,6.5,8.9,0.73,13.6,3.0,1.6,3.1,4.7,6.3,25.8,115.4,101.9
damyean,dotson,32,32,1098,11.2,23.8,0.47,5.2,10.3,0.505,6.0,13.5,0.442999999999998,2.4,2.9,0.83,12.3,2.0,1.6,0.3,1.8,2.9,30.8,126.8,98.3
