first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
markelle,fultz,2016-17,0.255,0.616,0.174,0.458,0.438,0.125,0.287,0.413,0.558,0.383,0.649
lonzo,ball,2016-17,0.359,0.789,0.515,0.076,0.462,0.083,0.566,0.412,0.738,0.286,0.673
jayson,tatum,2016-17,0.332,0.62,0.293,0.348,0.394,0.12,0.321,0.342,0.875,0.381,0.849
josh,jackson,2016-17,0.429,0.69,0.417,0.361,0.381,0.186,0.21,0.378,0.853,0.403,0.566
deaaron,fox,2016-17,0.481,0.642,0.196,0.365,0.362,0.169,0.154,0.246,0.765,0.474,0.736
jonathan,isaac,2016-17,0.414,0.698,0.486,0.238,0.41,0.36,0.348,0.348,0.839,0.461,0.78
lauri,markkanen,2016-17,0.253,0.695,0.5,0.314,0.424,0.26,0.434,0.423,0.942,0.436,0.835
dennis,smithjr,2016-17,0.371,0.649,0.204,0.258,0.305,0.031,0.371,0.358,0.481,0.486,0.712
zach,collins,2016-17,0.681,0.709,0.66,0.217,0.556,0.48,0.101,0.476,1,0.715,0.743
malik,monk,2016-17,0.204,0.684,0.474,0.326,0.379,0.203,0.47,0.397,0.817,0.323,0.822
luke,kennard,2016-17,0.184,0.618,0.182,0.402,0.482,0.202,0.414,0.438,0.761,0.386,0.856
donovan,mitchell,2016-17,0.266,0.559,0.197,0.225,0.35,0.086,0.509,0.354,0.788,0.243,0.806
edrice,adebayo,2016-17,0.637,0.762,0.71,0.363,0.311,0.656,0.0,---,---,0.831,0.653
justin,jackson,2016-17,0.221,0.667,0.58,0.302,0.394,0.338,0.477,0.37,0.867,0.22,0.748
justin,patton,2016-17,0.703,0.808,0.72,0.247,0.329,0.375,0.051,0.533,0.875,0.294,0.517
dj,wilson,2016-17,0.272,0.831,0.681,0.367,0.482,0.296,0.361,0.373,0.927,0.197,0.833
