first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight
markelle,fultz,fultzma01,markelle-fultz-1,2016-17,Washington,Pac-12,1998-05-29,19.0,76,195
lonzo,ball,balllo01,lonzo-ball-1,2016-17,UCLA,Pac-12,1997-10-27,19.583333333333332,78,190
jayson,tatum,tatumja01,jayson-tatum-1,2016-17,Duke,ACC,1998-03-03,19.25,80,205
josh,jackson,jacksjo02,josh-jackson-2,2016-17,Kansas,Big 12,1997-02-10,20.333333333333332,80,207
deaaron,fox,foxde01,deaaron-fox-1,2016-17,Kentucky,SEC,1997-12-20,19.5,75,187
jonathan,isaac,isaacjo01,jonathan-isaac-1,2016-17,Florida State,ACC,1997-10-03,19.666666666666668,82,210
lauri,markkanen,markkla01,lauri-markkanen-1,2016-17,Arizona,Pac-12,1997-05-22,20.083333333333332,84,230
dennis,smithjr,smithde03,dennis-smithjr-1,2016-17,North Carolina State,ACC,1997-11-25,19.5,75,195
zach,collins,colliza01,zach-collins-1,2016-17,Gonzaga,WCC,1997-11-19,19.583333333333332,84,230
malik,monk,monkma01,malik-monk-1,2016-17,Kentucky,SEC,1998-02-04,19.333333333333332,75,200
luke,kennard,kennalu01,luke-kennard-1,2016-17,Duke,ACC,1996-06-24,20.916666666666668,77,180
donovan,mitchell,mitchdo01,donovan-mitchell-1,2016-17,Louisville,ACC,1996-09-07,20.75,75,210
edrice,adebayo,adebaba01,edrice-adebayo-1,2016-17,Kentucky,SEC,1997-07-18,19.916666666666668,82,260
justin,jackson,jacksju01,justin-jackson-4,2016-17,UNC,ACC,1995-03-28,22.166666666666668,80,193
justin,patton,pattoju01,justin-patton-1,2016-17,Creighton,Big East,1997-06-14,20.0,83,215
dj,wilson,wilsodj01,dj-wilson-1,2016-17,Michigan,Big Ten,1996-02-19,21.333333333333332,81,220
tj,leaf,leaftj01,tj-leaf-1,2016-17,UCLA,Pac-12,1997-04-30,20.083333333333332,82,225
john,collins,collijo01,john-collins-1,2016-17,Wake Forest,ACC,1997-09-23,19.666666666666668,82,218
harry,giles,gilesha01,harry-giles-1,2016-17,Duke,ACC,1998-04-22,19.166666666666668,82,240
jarrett,allen,allenja01,jarrett-allen-1,2016-17,Texas,Big 12,1998-04-21,19.166666666666668,83,235
og,anunoby,anunoog01,og-anunoby-1,2016-17,Indiana,Big Ten,1997-07-17,19.916666666666668,80,215
tyler,lydon,lydonty01,tyler-lydon-1,2016-17,Syracuse,ACC,1996-04-09,21.166666666666668,80,205
caleb,swanigan,swanica01,caleb-swanigan-1,2016-17,Purdue,Big Ten,1997-04-18,20.166666666666668,81,260
kyle,kuzma,kuzmaky01,kyle-kuzma-1,2016-17,Utah,Pac-12,1995-07-24,21.833333333333332,81,190
tony,bradley,bradlto01.,tony-bradley-1,2016-17,UNC,ACC,1998-01-08,19.416666666666668,82,240
derrick,white,whitede01,derrick-white-1,2016-17,Colorado,Pac-12,1994-07-02,22.916666666666668,77,193
josh,hart,hartjo01,josh-hart-1,2016-17,Villanova,Big East,1995-03-06,22.25,77,205
frank,jackson,jacksfr01,frank-jackson-2,2016-17,Duke,ACC,1998-05-04,19.083333333333332,75,205
davon,reed,reedda01,davon-reed-1,2016-17,Miami (FL),ACC,1995-06-11,22.0,78,208
wesley,iwundu,iwundwe01,wesley-iwundu-1,2016-17,Kansas State,Big 12,1994-12-20,22.5,79,205
frank,mason,masonfr01,frank-mason-1,2016-17,Kansas,Big 12,1994-04-03,23.166666666666668,71,185
ivan,rabb,rabbiv01,ivan-rabb-1,2016-17,University of California,Pac-12,1997-02-04,20.333333333333332,83,220
semi,ojeleye,ojelese01,semi-ojeleye-1,2016-17,SMU,AAC,1994-12-05,22.5,80,230
jordan,bell,belljo01,jordan-bell-1,2016-17,Oregon,Pac-12,1995-01-07,22.416666666666668,79,190
jawun,evans,evansja01,jawun-evans-1,2016-17,Oklahoma State,Big 12,1996-07-26,20.833333333333332,72,175
dwayne,bacon,bacondw01,dwayne-bacon-1,2016-17,Florida State,ACC,1995-08-30,21.75,79,210
tyler,dorsey,dorsety01,tyler-dorsey-1,2016-17,Oregon,Pac-12,1996-02-14,21.333333333333332,76,180
thomas,bryant,bryanth01,thomas-bryant-1,2016-17,Indiana,Big Ten,1997-07-31,19.833333333333332,82,245
damyean,dotson,dotsoda01,damyean-dotson-1,2016-17,Houston,AAC,1994-05-06,23.083333333333332,77,209
dillon,brooks,brookdi01,dillon-brooks-1,2016-17,Oregon,Pac-12,1996-01-22,21.416666666666668,77,205
sterling,brown,brownst02,sterling-brown-2,2016-17,SMU,AAC,1995-02-10,22.333333333333332,78,200
ike,anigbogu,anigbik01,ike-anigbogu-1,2016-17,UCLA,Pac-12,1998-10-22,18.666666666666668,82,250
sindarius,thornwell,thornsi01,sindarius-thornwell-1,2016-17,South Carolina,SEC,1994-11-15,22.583333333333332,77,215
monte,morris,morrimo01,monte-morris-1,2016-17,Iowa State,Big 12,1995-06-27,21.916666666666668,74,170
edmond,sumner,sumneed01,edmond-sumner-1,2016-17,Xavier,Big East,1995-12-31,21.416666666666668,77,170
kadeem,allen,allenka01,kadeem-allen-1,2016-17,Arizona,Pac-12,1993-01-15,24.416666666666668,75,180
alec,peters,peteral01,alec-peters-1,2016-17,Valparaiso,Horizon,1995-04-13,22.166666666666668,81,225
nigel,williams-goss,willini01,nigel-williams-goss-1,2016-17,Gonzaga,WCC,1994-09-16,22.75,75,185
jabari,bird,birdja01,jabari-bird-1,2016-17,University of California,Pac-12,1994-07-03,22.916666666666668,78,198
jaron,blossomgame,blossja01,jaron-blossomgame-1,2016-17,Clemson,ACC,1993-09-16,23.75,79,215
ben,simmons,simmobe01,ben-simmons-1,2015-16,LSU,SEC,1996-07-20,19.916666666666668,82,225
brandon,ingram,ingrabr01,brandon-ingram-1,2015-16,Duke,ACC,1997-09-02,18.75,81,190
jaylen,brown,brownja02,jaylen-brown-1,2015-16,University of California,Pac-12,1996-10-24,19.583333333333332,79,225
kris,dunn,dunnkr01,kris-dunn-1,2015-16,Providence,Big East,1994-03-18,22.25,75,205
buddy,hield,hieldbu01,buddy-hield-1,2015-16,Oklahoma,Big 12,1993-12-17,22.5,76,209
jamal,murray,murraja01,jamal-murray-1,2015-16,Kentucky,SEC,1997-02-23,19.333333333333332,77,207
marquese,chriss,chrisma01,marquese-chriss-1,2015-16,Washington,Pac-12,1997-07-02,18.916666666666668,81,225
jakob,poeltl,poeltja01,jakob-poeltl-1,2015-16,Utah,Pac-12,1995-10-15,20.666666666666668,84,230
domantas,sabonis,sabondo01,domantas-sabonis-1,2015-16,Gonzaga,WCC,1996-05-03,20.083333333333332,82,231
taurean,prince,princta02,taurean-prince-1,2015-16,Baylor,Big 12,1994-03-22,22.25,79,215
denzel,valentine,valende01,denzel-valentine-1,2015-16,Michigan State,Big Ten,1993-11-16,22.583333333333332,77,220
wade,baldwin,baldwwa01,wade-baldwin-1,2015-16,Vanderbilt,SEC,1996-03-29,20.166666666666668,75,195
