first_name,last_name,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
markelle,fultz,,,,,,,,,,,,,,,,,,,,,,
lonzo,ball,,,,,,,,,,,,,,,,,,,,,,
jayson,tatum,,,,,,,,,,,,,,,,,,,,,,
josh,jackson,,,,,,,,,,,,,,,,,,,,,,
deaaron,fox,,,,,,,,,,,,,,,,,,,,,,
jonathan,isaac,,,,,,,,,,,,,,,,,,,,,,
lauri,markkanen,,,,,,,,,,,,,,,,,,,,,,
dennis,smithjr,,,,,,,,,,,,,,,,,,,,,,
zach,collins,,,,,,,,,,,,,,,,,,,,,,
malik,monk,,,,,,,,,,,,,,,,,,,,,,
luke,kennard,,,,,,,,,,,,,,,,,,,,,,
donovan,mitchell,,,,,,,,,,,,,,,,,,,,,,
edrice,adebayo,,,,,,,,,,,,,,,,,,,,,,
justin,jackson,,,,,,,,,,,,,,,,,,,,,,
justin,patton,,,,,,,,,,,,,,,,,,,,,,
dj,wilson,,,,,,,,,,,,,,,,,,,,,,
tj,leaf,,,,,,,,,,,,,,,,,,,,,,
john,collins,,,,,,,,,,,,,,,,,,,,,,
harry,giles,,,,,,,,,,,,,,,,,,,,,,
jarrett,allen,,,,,,,,,,,,,,,,,,,,,,
og,anunoby,,,,,,,,,,,,,,,,,,,,,,
tyler,lydon,,,,,,,,,,,,,,,,,,,,,,
caleb,swanigan,,,,,,,,,,,,,,,,,,,,,,
kyle,kuzma,,,,,,,,,,,,,,,,,,,,,,
tony,bradley,,,,,,,,,,,,,,,,,,,,,,
derrick,white,,,,,,,,,,,,,,,,,,,,,,
josh,hart,,,,,,,,,,,,,,,,,,,,,,
frank,jackson,,,,,,,,,,,,,,,,,,,,,,
davon,reed,,,,,,,,,,,,,,,,,,,,,,
wesley,iwundu,,,,,,,,,,,,,,,,,,,,,,
frank,mason,,,,,,,,,,,,,,,,,,,,,,
ivan,rabb,,,,,,,,,,,,,,,,,,,,,,
semi,ojeleye,,,,,,,,,,,,,,,,,,,,,,
jordan,bell,,,,,,,,,,,,,,,,,,,,,,
jawun,evans,,,,,,,,,,,,,,,,,,,,,,
dwayne,bacon,,,,,,,,,,,,,,,,,,,,,,
tyler,dorsey,,,,,,,,,,,,,,,,,,,,,,
thomas,bryant,,,,,,,,,,,,,,,,,,,,,,
damyean,dotson,,,,,,,,,,,,,,,,,,,,,,
dillon,brooks,,,,,,,,,,,,,,,,,,,,,,
sterling,brown,,,,,,,,,,,,,,,,,,,,,,
ike,anigbogu,,,,,,,,,,,,,,,,,,,,,,
sindarius,thornwell,,,,,,,,,,,,,,,,,,,,,,
monte,morris,,,,,,,,,,,,,,,,,,,,,,
edmond,sumner,,,,,,,,,,,,,,,,,,,,,,
kadeem,allen,,,,,,,,,,,,,,,,,,,,,,
alec,peters,,,,,,,,,,,,,,,,,,,,,,
nigel,williams-goss,,,,,,,,,,,,,,,,,,,,,,
jabari,bird,,,,,,,,,,,,,,,,,,,,,,
jaron,blossomgame,,,,,,,,,,,,,,,,,,,,,,
ben,simmons,,,,,,,,,,,,,,,,,,,,,,
brandon,ingram,,,,,,,,,,,,,,,,,,,,,,
jaylen,brown,,,,,,,,,,,,,,,,,,,,,,
kris,dunn,,,,,,,,,,,,,,,,,,,,,,
buddy,hield,,,,,,,,,,,,,,,,,,,,,,
