SalesID,SalePrice
1222837,31000
1222839,54000
1222841,26500
1222843,10000
1222845,35000
1222847,8000
1222849,33000
1222850,33500
1222855,66000
1222863,25000
1222864,29000
1222865,39000
1222867,65000
1222879,28000
1222883,11500
1222905,45000
1222908,83000
1222910,30000
1222911,43000
1222917,12000
1222918,19000
1222919,19000
1222920,13500
1222926,9750
1222969,33000
1222973,10000
1222977,10250
1222978,14000
1222980,17500
1222981,25500
1222984,22000
1222990,13000
1222993,20000
1222997,18500
1222999,32000
1223003,109000
1223014,8250
1223039,9000
1223040,10000
1223041,50000
1223042,55000
1223043,30000
1223057,140000
1223058,80000
1223059,82000
1223060,120000
1223067,9000
1223069,43000
1223070,72000
1223072,30500
1223073,39000
1223074,49000
1223075,11500
1223076,46000
1223077,11500
1223078,63000
1223079,52000
1223080,53000
1223081,56000
1223082,45000
1223083,24500
1223084,23000
1223091,32500
1223094,15500
1223095,103000
1223099,15250
1223101,12500
1223115,29500
1223116,26000
1223117,9000
1223118,16000
1223121,12500
1223124,9000
1223129,9250
1223130,8500
1223141,11250
1223145,13000
1223147,67000
1223148,52000
1223149,80000
1223150,60000
1223151,70000
1223152,120000
1223154,60000
1223164,12000
1223165,30000
1223169,18000
1223176,29000
1223177,17500
1223179,15750
1223180,15500
1223181,13500
1223182,17000
1223184,90000
1223185,17000
1223186,24000
1223187,12500
1223192,7500
1223193,13000
1223195,12500
1223198,31500
1223209,26000
1223211,13500
1223212,12000
1223215,12750
1223217,50500
1223226,12750
1223227,12000
1223229,24500
1223244,5750
1223245,5250
1223246,14000
1223252,32000
1223269,109000
1223270,125000
1223271,100000
1223272,135000
1223273,118000
1223277,7750
1223279,18500
1223289,10000
1223293,66000
1223303,25000
1223306,15000
1223308,53000
1223309,32000
1223310,57000
1223311,61000
1223313,101000
1223318,71000
1223319,90000
1223320,46000
1223322,30000
1223328,10000
1223329,77000
1223333,25500
1223335,14500
1223338,12000
1223339,12000
1223341,50000
1223343,17000
1223344,64000
1223346,13000
1223356,16500
1223357,56000
1223358,24500
1223360,92000
1223361,12000
1223364,133000
1223371,11500
1223377,13000
1223382,66000
1223383,86000
1223384,73000
1223385,76000
1223400,21000
1223408,46000
1223411,6250
1223431,6250
1223436,13500
1223440,19000
1223451,6000
1223458,17500
1223459,21000
1223460,32000
1223468,35000
1223479,19500
1223483,48000
1223484,7750
1223485,46000
1223486,59000
1223488,9250
1223489,7500
1223492,87000
1223493,65000
1223495,14500
1223512,11000
1223518,38000
1223519,25000
1223520,12500
1223523,28500
1223524,15000
1223526,9750
1223535,37000
1223547,60000
1223548,10500
1223549,15500
1223550,12500
1223551,12500
1223558,24000
1223580,14500
1223592,21500
1223593,71000
1223595,78000
1223596,44000
1223597,36000
1223626,13000
1223627,14000
1223634,70000
1223635,25000
1223647,26000
1223648,9500
1223650,43000
1223651,66000
1223652,24500
1223653,10500
1223665,27000
1223667,86000
1223670,20000
1223672,9250
1223679,24500
1223680,25000
1223691,11000
1223692,9750
1223696,49000
1223707,40000
1223718,13000
1223720,15000
1223724,8000
1223725,9500
1223727,82000
1223728,51500
1223733,68000
1223734,22000
1223737,28500
1223740,64000
1223764,86000
1223769,97500
1223770,10500
1223773,15500
1223779,13000
1223780,70000
1223788,15500
1223789,19500
1223790,19500
1223791,15000
1223794,30500
1223795,34500
1223796,9500
1223808,45000
1223809,20000
1223813,9000
1223814,8000
1223816,34000
1223817,14000
1223818,14000
1223819,13500
1223820,13500
1223823,12000
1223824,23000
1223834,50000
1223869,12000
1223872,21000
1223873,18000
1223875,27500
1223883,17000
1223884,18000
1223892,23500
1223893,49000
1223894,38000
1223895,42000
1223896,58000
1223897,32000
1223903,28000
1223909,13500
1223911,10500
1223913,14500
1223918,22000
1223919,6000
1223941,18000
1223943,11500
1223948,19000
1223949,20000
1223957,106000
1223958,29500
1223980,12000
1223990,7250
1223991,12000
1223995,38000
1223996,40000
1223997,54000
1224003,25000
1224004,15000
1224006,56000
1224012,36000
1224024,12000
1224037,7200
1224041,35500
1224043,23500
1224044,28000
1224045,23500
1224046,35500
1224047,124000
1224057,8000
1224065,16000
1224072,11000
1224083,23000
1224084,27000
1224085,22500
1224092,17000
1224101,10500
1224110,5250
1224122,28500
1224129,26500
1224131,20000
1224132,24500
1224139,13500
1224140,27000
1224152,6000
1224156,15500
1224159,12300
1224162,10500
1224166,18500
1224167,50000
1224185,44000
1224209,42500
1224225,107500
1224233,47500
1224234,52500
1224235,55000
1224236,57500
1224237,62500
1224238,40000
1224241,10500
1224243,10500
1224245,23500
1224246,10500
1224249,10000
1224250,25000
1224258,110000
1224262,82500
1224264,92500
1224267,72500
1224268,100000
1224269,50000
1224270,32500
1224283,95000
1224287,97500
1224288,25000
1224300,67500
1224302,71000
1224317,75000
1224318,55000
1224327,9500
1224330,25000
1224331,25000
1224332,56000
1224345,42500
1224348,56000
1224349,22000
1224355,47500
1224356,57500
1224357,51000
1224359,65000
1224360,47500
1224361,77500
1224362,54000
1224363,65000
1224367,120000
1224371,41000
1224385,67500
1224388,43000
1224389,85000
1224390,125000
1224391,65000
1224392,46000
1224397,82500
1224398,75000
1224400,105000
1224401,90000
1224408,48000
1224409,25000
1224410,100000
1224413,120000
1224420,102500
1224421,40000
1224422,21500
1224432,140000
1224455,22500
1224456,52500
1224457,52500
1224459,49000
1224460,47000
1224461,46000
1224462,46000
1224463,44000
1224464,30000
1224467,62500
1224468,34000
1224469,82500
1224473,16500
1224474,16000
1224477,22000
1224478,24000
1224479,50000
1224483,33000
1224487,42500
1224489,50000
1224490,63000
1224502,42000
1224503,33000
1224505,87500
1224507,22500
1224511,37500
1224512,37500
1224513,45000
1224515,30000
1224516,92500
1224523,17500
1224526,31000
1224527,35000
1224529,38000
1224530,82500
1224536,15000
1224538,42500
1224541,19500
1224558,16000
1224559,70000
1224561,57500
1224565,8500
1224568,9000
1224587,8750
1224588,8250
1224589,8750
1224590,8250
1224591,7500
1224595,67500
1224668,17500
1224709,17000
1224710,101000
1224711,14000
1224712,15000
1224713,10500
1224714,12500
1224716,5000
1224718,32500
1224719,15500
1224721,16000
1224727,125000
1224728,125000
1224729,61000
1224730,90000
1224731,22000
1224734,9500
1224735,15000
1224738,19000
1224752,21000
1224764,13500
1224766,24500
1224767,61000
1224768,56000
1224769,56000
1224793,8500
1224810,10000
1224811,11500
1224815,9500
1224816,10250
1224820,14500
1224826,20000
1224827,35000
1224829,47000
1224830,41000
1224839,27000
1224843,29000
1224871,9000
1224872,12750
1224873,9750
1224875,42500
1224876,55000
1224878,60000
1224884,67500
1224885,75000
1224886,12250
1224888,12500
1224889,18000
1224892,5250
1224896,42000
1224899,70000
1224900,80000
1224901,105000
1224902,125000
1224903,22000
1224904,49000
1224905,41000
1224910,28500
1224911,38000
1224912,16000
1224914,23000
1224915,50000
1224917,71000
1224918,17000
1224919,75000
1224920,38000
1224921,11000
1224923,20000
1224924,40000
1224928,24500
1224932,10500
1224933,13500
1224934,15000
1224935,8000
1224940,32000
1224941,13500
1224943,15000
1224944,16750
1224948,15000
1224950,8000
1224951,15000
1224952,13000
1224953,15500
1224954,17500
1224955,47500
1224956,87500
1224958,75000
1224959,100000
1224961,46000
1224973,11500
1224977,28000
1224979,67500
1224980,87500
1224981,22500
1224982,67500
1224983,90000
1224986,32000
1224991,65000
1224992,85000
1224995,100000
1224997,65000
1224999,90000
1225000,90000
1225002,17000
1225003,20000
1225004,11000
1225005,42500
1225008,45000
1225009,47500
1225024,11750
1225028,77500
1225030,87500
1225031,10000
1225034,52000
1225035,90000
1225036,70000
1225038,90000
1225043,41000
1225044,16500
1225045,32000
1225046,75000
1225048,75000
1225051,37000
1225052,34000
1225053,57500
1225055,20500
1225056,33000
1225062,45000
1225063,100000
1225064,14000
1225065,18000
1225066,16000
1225080,41500
1225082,28000
1225083,62500
1225084,82500
1225085,95000
1225086,130000
1225088,60000
1225095,75000
1225096,14000
1225097,33000
1225101,75000
1225103,87500
1225105,85000
1225107,82500
1225109,74000
1225111,62500
1225114,28000
1225116,13500
1225117,11000
1225118,18000
1225119,64000
1225120,65000
1225121,95000
1225122,72500
1225123,9500
1225126,75000
1225127,80000
1225130,77500
1225131,12750
1225132,120000
1225135,72500
1225136,16000
1225137,77500
1225138,48000
1225144,50000
1225148,8750
1225150,70000
1225151,80000
1225157,87500
1225160,6000
1225162,28000
1225163,44000
1225164,47500
1225165,45000
1225169,10000
1225178,9000
1225189,69000
1225208,80000
1225231,26000
1225232,11000
1225233,77000
1225234,86000
1225235,57000
1225237,43000
1225241,70000
1225242,41500
1225243,68000
1225244,77000
1225245,16500
1225304,11500
1225305,17000
1225325,9700
1225338,56000
1225339,32000
1225340,5750
1225341,6500
1225351,5500
1225357,10750
1225358,9500
1225364,17000
1225366,36000
1225380,20000
1225381,35000
1225388,18500
1225420,25000
1225425,14000
1225431,26000
1225435,16000
1225436,28500
1225437,28000
1225453,66000
1225454,15000
1225455,40000
1225456,14000
1225457,14000
1225463,14500
1225467,18500
1225469,14500
1225470,26500
1225471,23500
1225473,26000
1225475,25000
1225478,26000
1225482,8500
1225485,17000
1225486,62500
1225487,64000
1225492,91000
1225503,11500
1225504,26000
1225516,12500
1225526,5000
1225544,10750
1225563,27000
1225565,5750
1225566,47000
1225567,14750
1225586,9500
1225597,23000
1225598,9000
1225605,28000
1225608,26000
1225612,14500
1225622,23500
1225636,15000
1225640,16000
1225650,43500
1225724,60000
1225730,101000
1225732,40000
1225733,104000
1225734,90000
1225737,96000
1225739,70000
1225749,82000
1225773,49000
1225782,62000
1225783,30500
1225784,32000
1225791,16500
1225807,59000
1225808,25000
1225810,14000
1225811,14500
1225821,20500
1225822,62000
1225823,34000
1225828,8000
1225829,16000
1225842,35000
1225843,19000
1225847,50500
1225854,36000
1225855,8750
1225856,9500
1225859,17500
1225874,25500
1225877,12500
1225878,12000
1225905,13250
1225906,14250
1225916,31500
1225918,28000
1225923,11500
1225924,27000
1225933,35000
1225934,26500
1225945,6400
1225946,20500
1225947,26500
1225950,98000
1225952,9500
1225971,23700
1225979,32000
1226000,11000
1226012,71000
1226013,64000
1226015,25000
1226016,16000
1226017,25000
1226018,71000
1226021,37000
1226027,24000
1226028,25000
1226029,8500
1226032,34000
1226038,9000
1226039,35000
1226045,21500
1226046,86000
1226048,48000
1226053,12000
1226060,36000
1226061,32000
1226062,23500
1226063,87000
1226066,84000
1226068,71000
1226072,16000
1226083,13000
1226087,40000
1226089,48000
1226090,15000
1226091,6750
1226093,20000
1226095,25000
1226096,25500
1226098,26500
1226099,24000
1226100,25000
1226101,25500
1226105,22500
1226107,20000
1226109,12000
1226110,10000
1226133,17000
1226138,13000
1226144,10500
1226152,14000
1226154,8750
1226155,11500
1226159,11000
1226160,30500
1226167,10500
1226171,4750
1226184,9500
1226189,55000
1226191,11000
1226194,23500
1226195,19500
1226201,34000
1226202,43000
1226205,35000
1226246,15000
1226264,12200
1226266,27000
1226267,16500
1226272,13000
1226278,9000
1226286,33000
1226292,110000
1226324,12750
1226325,12500
1226332,7750
1226337,41500
1226340,40000
